Rank,Team,Group,Make_QF,Make_SF,Make_Final,Win_Copa_America
1,Argentina,A,1.0,0.845,0.7424,0.52
2,Colombia,D,0.9577,0.5924,0.3304,0.1459
3,Uruguay,C,0.9895,0.5398,0.2898,0.1216
4,Brazil,D,0.7993,0.452,0.2364,0.0983
5,United States,C,0.9047,0.3561,0.1326,0.0396
6,Venezuela,B,1.0,0.5497,0.1068,0.0285
7,Ecuador,B,0.7483,0.1595,0.0769,0.0281
8,Canada,A,0.6614,0.2724,0.0404,0.0087
9,Chile,A,0.3223,0.1266,0.0159,0.0038
10,Mexico,B,0.2517,0.0409,0.0168,0.0034
11,Paraguay,D,0.1198,0.0246,0.005,0.0008
12,Panama,C,0.0959,0.0142,0.0027,0.0007
13,Costa Rica,D,0.1232,0.0197,0.0029,0.0004
14,Peru,A,0.0163,0.0059,0.0008,0.0002
15,Bolivia,C,0.0099,0.0012,0.0002,0.0
16,Jamaica,B,0.0,0.0,0.0,0.0
